{'Feature': 'workclass', 'Value': ' State-gov', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'workclass', 'Value': ' Self-emp-not-inc', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'workclass', 'Value': ' Private', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'workclass', 'Value': ' Federal-gov', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'workclass', 'Value': ' Local-gov', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'workclass', 'Value': ' Self-emp-inc', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'workclass', 'Value': ' Without-pay', 'Precision': 1.0, 'Recall': 1.0, 'F1 Score': 1.0}
{'Feature': 'workclass', 'Value': ' Never-worked', 'Precision': 1.0, 'Recall': 1.0, 'F1 Score': 1.0}
{'Feature': 'education', 'Value': ' Bachelors', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' HS-grad', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' 11th', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' Masters', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' 9th', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' Some-college', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' Assoc-acdm', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' Assoc-voc', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' 7th-8th', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' Doctorate', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' Prof-school', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' 5th-6th', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' 10th', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' 1st-4th', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'education', 'Value': ' Preschool', 'Precision': 1.0, 'Recall': 1.0, 'F1 Score': 1.0}
{'Feature': 'education', 'Value': ' 12th', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'marital-status', 'Value': ' Never-married', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'marital-status', 'Value': ' Married-civ-spouse', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'marital-status', 'Value': ' Divorced', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'marital-status', 'Value': ' Married-spouse-absent', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'marital-status', 'Value': ' Separated', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'marital-status', 'Value': ' Married-AF-spouse', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'marital-status', 'Value': ' Widowed', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
